date,open,close,high,low,volume,money
2021-01-04,3474.68,3502.96,3511.66,3457.21,38079080000.0,523367700848.6
2021-01-05,3492.19,3528.68,3528.68,3484.72,40799593400.0,568019462187.7
2021-01-06,3530.91,3550.88,3556.8,3513.13,37023092600.0,521799529791.8
2021-01-07,3552.91,3576.2,3576.2,3526.62,40534822600.0,545709628110.3
2021-01-08,3577.69,3570.11,3588.06,3544.89,34555789600.0,502170815613.8
2021-01-11,3571.32,3531.5,3597.7,3516.99,36247915400.0,526895927277.3
2021-01-12,3518.01,3608.34,3608.34,3517.47,32340615300.0,485771186330.7
2021-01-13,3613.28,3598.65,3622.35,3575.59,38812779100.0,554853439062.3
2021-01-14,3584.93,3565.9,3599.06,3559.6,34766681900.0,511325103695.8
2021-01-15,3566.28,3566.38,3589.27,3533.79,32461274400.0,480343780955.9
2021-01-18,3554.8,3596.22,3608.77,3544.26,30165256500.0,451740700449.5
2021-01-19,3596.36,3566.38,3603.15,3553.02,32343954100.0,467402582397.1
2021-01-20,3564.12,3583.09,3589.96,3556.44,27227166100.0,397144766184.5
2021-01-21,3590.92,3621.26,3636.24,3585.8,32746699500.0,469855226645.9
2021-01-22,3616.54,3606.75,3616.54,3585.03,32446308400.0,485452192409.9
2021-01-25,3605.36,3624.24,3637.1,3591.02,32734107000.0,527257347652.8
2021-01-26,3610.97,3569.43,3610.97,3564.74,27813988400.0,436326664645.8
2021-01-27,3567.55,3573.34,3578.8,3546.49,26410716100.0,396270389618.8
2021-01-28,3534.67,3505.18,3549.54,3496.88,27086246100.0,391574388026.6
2021-01-29,3521.72,3483.07,3531.6,3446.55,29366266400.0,416528620977.0
2021-02-01,3477.17,3505.28,3506.39,3469.88,27756790100.0,371473066288.8
2021-01-04,3474.68,3502.96,3511.66,3457.21,38079080000.0,523367700848.6
2021-01-05,3492.19,3528.68,3528.68,3484.72,40799593400.0,568019462187.7
2021-01-06,3530.91,3550.88,3556.8,3513.13,37023092600.0,521799529791.8
2021-01-07,3552.91,3576.2,3576.2,3526.62,40534822600.0,545709628110.3
2021-01-08,3577.69,3570.11,3588.06,3544.89,34555789600.0,502170815613.8
2021-01-11,3571.32,3531.5,3597.7,3516.99,36247915400.0,526895927277.3
2021-01-12,3518.01,3608.34,3608.34,3517.47,32340615300.0,485771186330.7
2021-01-13,3613.28,3598.65,3622.35,3575.59,38812779100.0,554853439062.3
2021-01-14,3584.93,3565.9,3599.06,3559.6,34766681900.0,511325103695.8
2021-01-15,3566.28,3566.38,3589.27,3533.79,32461274400.0,480343780955.9
2021-01-18,3554.8,3596.22,3608.77,3544.26,30165256500.0,451740700449.5
2021-01-19,3596.36,3566.38,3603.15,3553.02,32343954100.0,467402582397.1
2021-01-20,3564.12,3583.09,3589.96,3556.44,27227166100.0,397144766184.5
2021-01-21,3590.92,3621.26,3636.24,3585.8,32746699500.0,469855226645.9
2021-01-22,3616.54,3606.75,3616.54,3585.03,32446308400.0,485452192409.9
2021-01-25,3605.36,3624.24,3637.1,3591.02,32734107000.0,527257347652.8
2021-01-26,3610.97,3569.43,3610.97,3564.74,27813988400.0,436326664645.8
2021-01-27,3567.55,3573.34,3578.8,3546.49,26410716100.0,396270389618.8
2021-01-28,3534.67,3505.18,3549.54,3496.88,27086246100.0,391574388026.6
2021-01-29,3521.72,3483.07,3531.6,3446.55,29366266400.0,416528620977.0
2021-02-01,3477.17,3505.28,3506.39,3469.88,27756790100.0,371473066288.8
2021-01-04,3474.68,3502.96,3511.66,3457.21,38079080000.0,523367700848.6
2021-01-05,3492.19,3528.68,3528.68,3484.72,40799593400.0,568019462187.7
2021-01-06,3530.91,3550.88,3556.8,3513.13,37023092600.0,521799529791.8
2021-01-07,3552.91,3576.2,3576.2,3526.62,40534822600.0,545709628110.3
2021-01-08,3577.69,3570.11,3588.06,3544.89,34555789600.0,502170815613.8
2021-01-11,3571.32,3531.5,3597.7,3516.99,36247915400.0,526895927277.3
2021-01-12,3518.01,3608.34,3608.34,3517.47,32340615300.0,485771186330.7
2021-01-13,3613.28,3598.65,3622.35,3575.59,38812779100.0,554853439062.3
2021-01-14,3584.93,3565.9,3599.06,3559.6,34766681900.0,511325103695.8
2021-01-15,3566.28,3566.38,3589.27,3533.79,32461274400.0,480343780955.9
2021-01-18,3554.8,3596.22,3608.77,3544.26,30165256500.0,451740700449.5
2021-01-19,3596.36,3566.38,3603.15,3553.02,32343954100.0,467402582397.1
2021-01-20,3564.12,3583.09,3589.96,3556.44,27227166100.0,397144766184.5
2021-01-21,3590.92,3621.26,3636.24,3585.8,32746699500.0,469855226645.9
2021-01-22,3616.54,3606.75,3616.54,3585.03,32446308400.0,485452192409.9
2021-01-25,3605.36,3624.24,3637.1,3591.02,32734107000.0,527257347652.8
2021-01-26,3610.97,3569.43,3610.97,3564.74,27813988400.0,436326664645.8
2021-01-27,3567.55,3573.34,3578.8,3546.49,26410716100.0,396270389618.8
2021-01-28,3534.67,3505.18,3549.54,3496.88,27086246100.0,391574388026.6
2021-01-29,3521.72,3483.07,3531.6,3446.55,29366266400.0,416528620977.0
2021-02-01,3477.17,3505.28,3506.39,3469.88,27756790100.0,371473066288.8
2021-01-04,3474.68,3502.96,3511.66,3457.21,38079080000.0,523367700848.6
2021-01-05,3492.19,3528.68,3528.68,3484.72,40799593400.0,568019462187.7
2021-01-06,3530.91,3550.88,3556.8,3513.13,37023092600.0,521799529791.8
2021-01-07,3552.91,3576.2,3576.2,3526.62,40534822600.0,545709628110.3
2021-01-08,3577.69,3570.11,3588.06,3544.89,34555789600.0,502170815613.8
2021-01-11,3571.32,3531.5,3597.7,3516.99,36247915400.0,526895927277.3
2021-01-12,3518.01,3608.34,3608.34,3517.47,32340615300.0,485771186330.7
2021-01-13,3613.28,3598.65,3622.35,3575.59,38812779100.0,554853439062.3
